symbol,E
H,-11.07011
He,-54.09664
Li,-4.80412
Be,-25.26494
B,-50.84441
C,-115.15732
N,-177.85963
O,-289.97952
F,-462.69609
Ne,-272.22972
Na,-5.81548
Mg,-18.66074
Al,-62.20211
Si,-96.94941
P,-170.60826
S,-173.44087
Cl,-265.24998
Ar,-264.22578
K,-4.88807
Ca,-19.09281
Sc,-37.25729
Ti,-73.75413
V,-119.28588
Cr,-260.39534
Mn,-226.56671
Fe,-390.66498
Co,-398.01083
Ni,-375.58231
Cu,-673.16583
Zn,-26.97859
Ga,-57.28036
Ge,-84.20003
As,-123.88732
Se,-156.69076
Br,-221.41628
Kr,-259.00171
Rb,-4.12096
Sr,-14.89116
Y,-34.67746
Zr,-52.67139
Nb,-127.57961
Mo,-187.81216
Tc,-204.71501
Ru,-214.02948
Rh,-396.89494
Pd,-520.81164
Ag,-541.67938
Cd,-27.35116
In,-53.1579
Sn,-86.40474
Sb,-118.62499
Te,-255.21535
I,-222.90791
Xe,-364.51658
Cs,-3.99631
Ba,-15.29945
La,-32.41924
Ce,0
Pr,0
Nd,0
Pm,0
Sm,0
Eu,0
Gd,0
Tb,0
Dy,0
Ho,0
Er,0
Tm,0
Yb,0
Lu,-48.58341
Hf,-92.38486
Ta,-107.09383
W,-170.50283
Re,-215.93687
Os,-367.27633
Ir,-335.8216
Pt,-502.33658
Au,-682.05025
Hg,-28.72363
Tl,-57.03031
Pb,-90.21309
Bi,-118.5259
Po,0
At,0
Rn,0.0
Fr,0
Ra,0
Ac,0
Th,0
Pa,0
U,0
Np,0.0
Pu,0
Am,0
Cm,0
Bk,0
Cf,0
Es,0
Fm,0
Md,0
No,0
Lr,0
Rf,0
Db,0
Sg,0
Bh,0
Hs,0
Mt,0
Ds ,0
Rg ,0
Cn ,0
Nh,0
Fl,0
Mc,0
Lv,0
Ts,0
Og,0
