SMILES,E_0
CC(C)(C)CO,-1072.05713
CN=C=S,-648.45323
C1OCOCO1,-1334.94074
CC(N)=O,-795.38739
CC(O)CNCC(C)O,-1716.85555
NC(=O)C=C,-917.31969
NC(N)=S,-726.2439
COC(=O)C(=O)OC,-1753.2563
NCC(O)=O,-1090.30742
NCCC(O)=O,-1240.35279
CC(C)(N)C(O)=O,-1390.45653
C\C=C\C(O)=O,-1163.1344
OC(O)C(Cl)(Cl)Cl,-1677.86914
CC(C)C1CCC(C)CC1O,-1794.92312
NC(=N)NC#N,-1043.30995
OC1COC(O)C(O)C1O,-2226.05355
CCCCOC(N)=O,-1540.43324
CC1=CCC(CC1)C(C)(C)O,-1767.41777
CC(N)C(O)=O,-1240.48186
CC(C)COC(N)=O,-1540.46731
CC(=C)C1CC=C(C)C(O)C1,-1739.71966
S=C1NCCN1,-998.61943
CC(C)(C)OC(N)=O,-1540.74797
CCCCCCCCCCCCCCO,-2421.58
NCCCCCC(O)=O,-1690.21058
OCC(O)C(O)C(O)C(O)CO,-2698.53613
CC1(C)C2CCC1(C)C(O)C2,-1767.21832
CCC(N)C(O)=O,-1390.42313
CC1OC(C)OC(C)OC(C)O1,-2380.50425
OCC1OC(O)C(O)C(O)C1O,-2671.26219
CCNC(=S)NCC,-1325.79345
C\C=C\C=C\C(O)=O,-1435.413
NC(CO)C(O)=O,-1535.53444
OC(=O)CC(O)=O,-1604.59254
OC(=O)C(Cl)(Cl)Cl,-1650.58272
CC(C)C(N)C(O)=O,-1540.32796
CCCCCCCCCC(O)=O,-2090.61278
NC(N)=N[N+]([O-])=O,-1509.34529
OC(=O)C1CCCN1,-1513.05745
CCCCC(N)C(O)=O,-1690.30601
CC(C)CC(N)C(O)=O,-1690.22703
CC1(C)C2CCC1(C)C(=O)C2,-1740.15658
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88418
NC(CS)C(O)=O,-1417.21627
OC(=O)CCCC(O)=O,-1904.7914
CCCCCCCCCCCC(O)=O,-2390.40149
OC(=O)/C=C/C(O)=O,-1726.76431
OC(=O)CCC(O)=O,-1754.75478
CC(C)(S)C(N)C(O)=O,-1717.16991
OC1CNC(C1)C(O)=O,-1808.44514
CC(O)C(N)C(O)=O,-1685.74216
CCN(N=O)C(N)=O,-1611.34827
CSCCC(N)C(O)=O,-1716.93281
OC(=O)CCCCC(O)=O,-2054.71619
CCCCCCCCCCCCCC(O)=O,-2690.39702
NC1=N[NH]C=N1,-1043.46873
NC(CC(N)=O)C(O)=O,-1858.76412
CCCCCCCCCCCCCCCC(O)=O,-2990.24282
OC(CC(O)=O)C(O)=O,-2049.91818
OC(=O)CCCCCCCC(O)=O,-2504.64484
