SMILES,E_0
CC(C)C,-626.93423
CCC(C)(C)C,-926.85445
CC(C)C(C)C,-926.79936
CCC(C)CC,-926.76531
CC1CCCC1,-899.63345
CCCC,-626.87005
CCCCC,-776.8093
CCCCCC,-926.73971
C1CCCCC1,-899.70666
CCCCCCCC,-1226.73376
CCCCCCCCCCCC,-1826.5077
CCCCCCC,-1076.69856
C1CCCC1,-749.64281
C1CCCCCCC1,-1199.28636
CC(C)(C)C,-776.96386
CCCCCCCCCCCCCC,-2126.36824
ClC(Cl)(Cl)Cl,-1190.01638
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.86691
ClC(Cl)Cl,-936.78387
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88397
CC(Cl)(Cl)Cl,-1087.24539
CBr,-385.87375
CCl,-430.30395
CI,-386.88249
BrCBr,-594.64591
CCBr,-535.91183
ClCBr,-639.06044
CCCl,-580.44981
CCI,-536.87279
ClCCl,-683.54389
ICI,-596.55276
CC(C)Cl,-730.62201
CC(Cl)Cl,-833.87603
CC(F)F,-1231.45733
FC(Cl)Cl,-1135.7705
FC(F)Cl,-1334.78136
FC(F)F,-1533.78932
FC(F)(F)Br,-1742.80872
FC(Cl)(Cl)Cl,-1389.17909
FC(F)(Cl)Cl,-1588.33351
FC(F)(F)Cl,-1787.45546
ClC(Cl)C(Cl)(Cl)Cl,-1593.64213
FC(F)(Cl)C(F)(Cl)Cl,-2443.98027
FC(F)(Cl)C(F)(F)Cl,-2642.91499
ClCC(Cl)Cl,-1087.12708
ClC(Cl)C(Cl)Cl,-1340.37367
BrCCBr,-744.76609
CCCBr,-685.8153
ClCCCl,-833.78959
BrC1CCCCC1,-1108.76569
CCCCBr,-835.83761
CCCCCl,-880.37902
ClCCCBr,-939.28692
CCCCCBr,-985.76939
CCCCCCBr,-1135.74084
CCCCCCCCBr,-1435.58967
ClCCCCl,-983.86236
FC(F)(F)C(Cl)Br,-2146.16013
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.41502
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.72499
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.86701
CCCCl,-730.43227
CF,-628.74524
CCCCCCCBr,-1285.7085
CCCCCCCCl,-1330.1914
CCCCCCCI,-1286.63375
CCC=C,-598.9873
C=CC=C,-571.18767
C1CCC=CC1,-872.00973
CCCCCCC=C,-1198.84709
CC(C)=C,-599.26653
CCCCCCCC=C,-1348.78961
C1C=CC=CC=C1,-966.62363
C\C=C/C,-599.1974
C=CCC=C,-721.13908
CCCCC=C,-898.97238
C=CCCC=C,-871.10805
CCCCCC=C,-1048.85299
C\C=C\C,-599.23179
C1C=CCC=C1,-844.34208
ClC(Cl)=C,-805.84287
FC(F)=C,-1203.54604
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,-2214.49817
ClC=C(Cl)Cl,-1059.16309
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-2091.42158
BrCC=C,-657.9928
ClC(Cl)=C(Cl)Cl,-1312.44228
Cl\C=C/Cl,-805.83891
Cl\C=C\Cl,-805.85122
Cl\C=C\Cl,-805.8512
BrC=C,-507.91552
BrCCC=C,-807.95768
Br\C=C\Br,-716.83198
CCCC#C,-721.05709
CCOCC,-921.72801
CCOC(C)OCC,-1516.87241
CC(C)OC(C)C,-1221.90188
CC(C)OCCO,-1367.0665
COCCO,-1066.91006
COCOC,-1066.4985
CCOC=C,-894.07615
C1CCOC1,-894.65678
COCCOC,-1216.39609
CCOCCO,-1216.91321
C1OCOCO1,-1334.9422
CCCOCCC,-1221.61501
ClCCOCCCl,-1428.5526
CCCCOCCO,-1516.84598
CCOCCOCCO,-1811.70872
COCCOCCOC,-1811.15458
CCCCCCOCCO,-1816.77971
CCOCCOCCOCC,-2111.25842
CCCCOCCOCCCC,-2116.35005
CCCCOCCOCCOCCCC,-2711.01446
COC,-621.63733
CC1OC(C)OC(C)O1,-1785.44153
C1COCCO1,-1189.60193
C1CCOCC1,-1044.70853
CCCCOCCCC,-1521.58847
CCOCOCC,-1366.92465
CCOCCOCC,-1516.55851
C1COCO1,-1039.69899
COC(C)(C)C,-1071.87744
FC(F)OC(F)(F)C(F)Cl,-3286.96019
FC(F)OC(Cl)C(F)(F)F,-3287.04709
CCN(CC)N=O,-1292.82919
O=NN1CCOCC1,-1560.47028
CN(C)N=O,-992.7527
O=NN(c1ccccc1)c2ccccc2,-2274.09464
Oc1ccc2ccccc2c1N=O,-2097.31593
Oc1c(ccc2ccccc12)N=O,-2097.36115
CC(C)N(N=O)C(C)C,-1592.78133
CCCN(CCC)N=O,-1592.76786
CCCCN(CCCC)N=O,-1892.6385
CCCCN(CC)N=O,-1592.72629
CCCCN(C)N=O,-1442.70828
CCN(C)N=O,-1142.79705
ClCCN(CCCl)[P]1(=O)NCCCO1,-2737.15808
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-3175.65224
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.75314
CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,-2848.52289
CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-3432.18075
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3444.87734
CNC(=O)CS[P](=S)(OC)OC,-2379.84832
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-3475.92204
CC(=O)O[Hg]c1ccccc1,-1709.806
CO[P](=O)(OC)OC=C(Cl)Cl,-2478.50725
CNC(=O)Oc1cccc2ccccc12,-2399.10341
