SMILES,E_0
C1=CC2=C3C(=C1)C=CC3=CC=C2,-1580.57485
CC(N)=O,-795.38464
CC#N,-471.97798
CC(=O)C1=CC=CC=C1,-1385.73632
C=CC=O,-716.77591
C=CC=O,-716.7777
C=CC(N)=O,-917.31966
C=CC#N,-593.96618
CCCCCOC(C)=O,-1640.43517
CCC(C)(C)C1=CC=CC=C1,-1567.46145
CC12CCCC1C1CCC3CC(=O)C(=O)CC3(C)C1CC2,-3303.4257
COC1=CC=CC=C1,-1262.53524
C1=CC=C2C=C3C=CC=CC3=CC2=C1,-1853.92809
O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2,-2417.43791
O=CC1=CC=CC=C1,-1235.41106
NC(=O)C1=CC=CC=C1,-1435.88712
C1=CC=CC=C1,-817.56192
C1=CC=C2C(=C1)C=CC1=C2CC2=C1C=CC=C2,-2249.52805
C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,-2618.16358
C1=CC2=CC=C3C4=C(C=CC=C4)C=C4C=CC(=C1)C2=C43,-2618.16356
C1=CC2=CC3=C(C=C2C=C1)C1=C(C=CC=C1)C3,-2249.59987
N#CC1=CC=CC=C1,-1112.56549
O=C(C1=CC=CC=C1)C1=CC=CC=C1,-2026.27327
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-3785.0421
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6472.7291
C1=CC=C(CCC2=CC=CC=C2)C=C1,-1908.3516
C1=CC=C(C2=CC=CC=C2)C=C1,-1608.38461
CC(C)CBr,-835.86415
ClCCCBr,-939.32937
CC(C)CCBr,-985.77137
O=CC1=CC=C(O)C(Br)=C1,-1739.76827
BrC1=CC=CC=C1,-1026.53096
CCCCBr,-835.8088
ClC1=CC=CC=C1Br,-1280.01827
ClC1=CC=CC(Br)=C1,-1280.05882
ClCBr,-639.06044
ClC(Cl)Br,-892.25084
CCBr,-535.91186
CCCBr,-685.86496
CC(C)Br,-685.98012
CC1=CC=CC(Br)=C1,-1176.69915
CCCC,-626.89939
CCCCO,-922.00183
CCC(C)O,-922.29432
CCCCOCCO,-1516.88539
CCCCOC(C)=O,-1490.4696
CCCCC1=CC=CC=C1,-1417.57546
CC(C)(C)C1=CC=CC=C1,-1417.54892
CCC(C)C1=CC=CC=C1,-1417.50425
CCCC=O,-894.70946
CC12CCC(CC1=O)C2(C)C,-1740.15862
CCCCCC=O,-1194.63531
CCCCCCCC=O,-1494.48763
ClC(Cl)(Cl)Cl,-1190.01636
ClCCBr,-789.29228
CCC(C)(C)Cl,-1030.73772
CC(C)CCl,-880.43797
C1=CC(=CC=C1[N+](=O)[O-])Cl,-1831.51991
COC1=CC=CC=C1Cl,-1516.01389
COC1=CC=CC(Cl)=C1,-1516.1248
COC1=CC=C(Cl)C=C1,-1516.0924
ClC1=CC=CC=C1,-1071.14037
ClC1=CC=CC=C1C1=CC=CC=C1,-1861.99036
ClC1=CC(C2=CC=CC=C2)=CC=C1,-1861.95142
ClC1=CC=C(C2=CC=CC=C2)C=C1,-1861.95722
CCCCCl,-880.36614
CCC(C)Cl,-880.56157
ClC1=CC=C2OC3=CC=CC=C3OC2=C1,-2424.82934
ClC(Br)Br,-847.79118
ClC1=CC=CC=C1OC1=CC=CC=C1,-2156.73266
CCCCCCCl,-1180.30761
CCCCCCl,-1030.36316
CCCC(C)Cl,-1030.53051
CCC(Cl)CC,-1030.58102
CCCCl,-730.36551
CC(C)Cl,-730.62087
C=CCCl,-702.50764
CC1=CC=CC(Cl)=C1,-1221.31162
CC1=CC=CC=C1Cl,-1221.33062
CC1=CC=C(Cl)C=C1,-1221.2997
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4234.78391
C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,-2372.39819
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-4166.8335
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-4434.76085
O=C1C=CC2=C(C=CC=C2)O1,-1776.42244
C1=CCC=CC1,-844.34307
C1CCCCC1,-899.70657
OC1CCCCC1,-1194.98764
O=C1CCCCC1,-1167.87813
C1=CCCCC1,-871.88791
C1CCCC1,-749.64283
C1=CCCC1,-721.88918
ClC1=C(Cl)C(Cl)=C(C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-4143.01375
ClC1=C(Cl)C(Cl)=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-4437.6059
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-4643.81602
C1=CC=C2C(=C1)OC1=CC=CC=C12,-1876.22135
C1=CC=C2OC3=CC=CC=C3OC2=C1,-2171.30669
C1=CC=C2C(=C1)SC1=CC=CC=C12,-1758.52752
BrC1=CC=CC=C1Br,-1235.42734
BrC1=CC=CC(Br)=C1,-1235.45142
BrC1=CC=C(Br)C=C1,-1235.45646
BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,-2026.30396
BrCCBr,-744.77115
BrC=CBr,-716.83218
BrCBr,-594.64592
BrCCCBr,-894.76688
CC(Br)CBr,-894.82767
CCCCOCCCC,-1521.58297
CCCCC(=O)CCCC,-1644.79955
CC(Cl)C(C)(C)Cl,-1284.25947
OC(CCl)CCl,-1279.1235
COC1=CC=CC(Cl)=C1Cl,-1769.48879
COC1=C(Cl)C=CC=C1Cl,-1769.44749
ClC1=CC=CC=C1Cl,-1324.6012
ClC1=CC=CC(Cl)=C1,-1324.66296
ClC1=CC=C(Cl)C=C1,-1324.66728
ClC1=CC=C(C2=CC=CC=C2)C(Cl)=C1,-2115.51246
ClC1=CC=C(C2=CC=C(Cl)C=C2)C=C1,-2115.52069
ClC1=CC=CC=C1C1=CC=CC=C1Cl,-2115.60019
ClC1=CC=C(Cl)C(C2=CC=CC=C2)=C1,-2115.51439
ClC1=CC=C(C2=C(Cl)C=CC=C2)C=C1,-2115.55747
ClC1=CC=CC(C2=CC(Cl)=CC=C2)=C1,-2115.50776
ClC1=CC=C(C2=CC=CC=C2)C=C1Cl,-2115.40979
ClC1=CC=CC(Cl)=C1C1=CC=CC=C1,-2115.55451
CCCC(Cl)Cl,-1133.8294
CC(Cl)C(C)Cl,-1134.11391
ClC1=CC=C2OC3=CC=C(Cl)C=C3C2=C1,-2383.28524
ClC1=CC=C2OC3=CC(Cl)=CC=C3OC2=C1,-2678.34229
ClC1=CC=C2OC3=CC=C(Cl)C=C3OC2=C1,-2678.34043
FC(F)(Cl)Cl,-1588.33356
ClC1=CC=CC(Cl)=C1OC1=CC=CC=C1,-2410.29152
ClC1=CC=C(OC2=C(Cl)C=CC=C2)C=C1,-2410.3969
CC(Cl)Cl,-833.87605
ClCCCl,-833.78958
C=C(Cl)Cl,-805.84291
ClC=CCl,-805.83886
ClC(Cl)COCC(Cl)Cl,-1935.44656
ClCCl,-683.54392
ClCCCCl,-983.86296
CC(Cl)CCl,-983.96081
COC1=CC(Cl)=C(Cl)C=C1OC,-2214.29892
CCOCCOCC,-1516.46743
CCOC(C)OCC,-1516.82907
CCC1=CC=C(CC)C=C1,-1417.74811
CCOCC,-921.73024
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-2844.45717
IC1=CC=C(I)C=C1,-1237.33117
IC=CI,-718.71895
CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,-3444.20043
CC(C)OC(C)C,-1221.88864
CC(C)C(=O)C(C)C,-1344.95897
COC1=CC=C(OC)C(C=O)=C1,-2125.2485
COCOC,-1066.2167
CCC(C)(C)CO,-1221.95212
CC(C)(C)CCO,-1222.08931
CCCC(C)(C)CO,-1372.01142
CC(C)CC(C)CO,-1371.88763
CC(C)(C)CCCO,-1372.04052
CCCC(C)(C)CO,-1372.00396
CC(O)C(C)(C)C,-1222.23356
CC(C)C(C)(C)O,-1222.2743
CC(C)CC(C)(C)O,-1372.23511
CCC(C)C(C)(C)O,-1372.16545
CCC(O)C(C)(C)C,-1371.9724
CC(C)C(O)C(C)C,-1372.07369
CCC(C)(O)C(C)C,-1372.13845
CC(=O)N(C)C,-1094.81047
CC1=CC=CC=C1C,-1117.83908
CC1=CC=CC(C)=C1,-1117.88321
CC1=CC=C(C)C=C1,-1117.87038
CCC(C)(C)C,-926.85459
CC(C)C(C)CO,-1222.01639
CC1CCCCC1C,-1199.48752
CC1=C2C=CC=CC2=C(C)C=C1,-1636.04121
CC(C)CC(C)C,-1076.80282
COC(=O)C1=CC=CC=C1C(=O)OC,-2544.2556
COC(=O)C1=CC=C(C(=O)OC)C=C1,-2544.40729
C=CC=C(C)C=CC=CC,-1415.97926
C1=CC=C(OC2=CC=CC=C2)C=C1,-1903.15846
C1=CC=C(CC2=CC=CC=C2)C=C1,-1758.34537
