SMILES,E_0
CCC(CC)O[N+]([O-])=O,-1831.57371
Oc1cc(Br)cc(C=O)c1,-1739.60427
[H+].[Cl-].CCOC(=O)C1(CCN(C)CC1)c2ccccc2,
CCC(O)(COC(N)=O)c1ccccc1,-2626.34885
CC(O)C(O)=O,-1336.14647
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-3126.64042
OC(=O)c1c(Cl)cccc1Cl,-2038.48192
OC(=O)c1c(Cl)ccc(Cl)c1Cl,-2291.88001
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-3286.11015
S=C1N=CNc2nc[nH]c12,-1588.54647
CNCCCN1c2ccccc2CCc3ccccc13,-2879.82925
CN(C)CCC=C1c2ccccc2CCc3ccccc13,-2952.72455
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-7622.12947
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-3789.42017
NCCc1c[nH]c2ccc(O)cc12,-2057.80585
OCC(O)C(O)C(O)C(O)CO,-2698.38722
OC(=O)c1cc(Cl)c(Cl)cc1Cl,-2291.85176
OC(=O)c1ccc(Cl)cc1Cl,-2038.46355
OCC1OC(O)C(O)C(O)C1O,-2671.311
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4214.57273
[nH]1cnc2ccccc12,-1312.53973
BrC1=CNC(=O)NC1=O,-1717.84607
CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-3737.53187
CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,-4690.29254
CNC[C@H](O)c1ccc(O)c(O)c1,-2352.90255
CCCC1=CC(=O)NC(=S)N1,-1840.05962
COc1ccc(NC(C)=O)cc1,-2030.86338
CN(CCCl)CCCl,-1483.02841
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-3965.89573
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-4739.51931
S=[P](N1CC1)(N2CC2)N3CC3,-1808.24168
OCC(Br)(CO)[N+]([O-])=O,-2036.53274
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.64928
NC(CS)C(O)=O,-1417.08244
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-3099.56684
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-2922.15902
C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O,-3331.30621
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-3303.71724
COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3,-4184.1155
CN1CCC[C@H]1c2cccnc2,-1789.38524
[Na+].Oc1ccccc1C([O-])=O,-1816.11711
OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-3327.09964
NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,-5503.05835
CN(C)c1ccc(cc1)N=Nc2cccc(C)c2,-2628.83213
CC(C)O[P](F)(=O)OC(C)C,-2457.55957
CC1=CC(=O)NC(=S)N1,-1540.14523
NCCCC(O)=O,-1390.44353
C[C@@]12[C@H]3CC[C@H](O3)[C@]1(C)C(=O)OC2=O,-2571.67258
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,-3742.50617
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,-6751.32317
CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,-4034.4603
OCC(O)CO,-1362.63651
NC(CC(O)=O)C(O)=O,-1954.2469
N[C@@H](CCC(N)=O)C(O)=O,-2008.72252
NC(CCC(O)=O)C(O)=O,-2104.32944
NCCCCC(N)C(O)=O,-1889.75259
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-2807.27593
OCC(O)CO[P](O)(O)=O,-2441.01676
C=CCN=C=S,-920.51444
CCCCCCCCCCCCCCCCCC(O)=O,-3290.10829
CN(C)N,-725.37939
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-2967.39492
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-2902.82276
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,-2671.12117
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-5019.56588
CC(O)CO,-1067.47092
O=C1CCO1,-1012.27599
