SMILES,E_0
ClCC(Cl)(Cl)Cl,-1340.42357
CC(Cl)(Cl)Cl,-1087.24544
ClC(Cl)C(Cl)Cl,-1340.37369
ClCC(Cl)Cl,-1087.12707
FC(F)(Cl)C(F)(Cl)Cl,-2443.92863
CC(Cl)Cl,-833.87608
ClC(=C)Cl,-805.843
CCOC(C)OCC,-1516.80193
Clc1ccc(Cl)c(Cl)c1Cl,-1831.44511
C1CCc2ccccc2C1,-1390.55956
Clc1cc(Cl)c(Cl)c(Cl)c1,-1831.49117
Clc1cccc(Cl)c1Cl,-1578.03627
Cc1cccc(C)c1C,-1267.92662
Brc1cc(Br)c(Br)cc1Br,-1653.16217
Clc1cc(Cl)c(Cl)cc1Cl,-1831.48898
Cc1cc(C)c(C)cc1C,-1418.09343
c1(Br)c(Br)cc(Br)cc1,-1444.31896
Clc1ccc(Cl)c(Cl)c1,-1578.08959
Cc1ccc(C)c(C)c1,-1267.98635
Oc1ccccc1O,-1408.16457
Brc1ccccc1Br,-1235.42735
BrCCBr,-744.76652
Clc1ccccc1Cl,-1324.60118
ClCCCl,-833.78959
CC(Cl)CCl,-984.00017
FC(F)(Cl)C(F)(F)Cl,-2642.91505
CCOCCOCC,-1516.52754
CCc1ccccc1CC,-1417.65145
O=N(=O)c1ccccc1N(=O)=O,-2337.98486
CC1CO1,-743.66244
Brc1cc(Br)cc(Br)c1,-1444.33435
Clc1cc(Cl)cc(Cl)c1,-1578.14091
Cc1cc(C)cc(C)c1,-1268.04435
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-3098.42951
Oc1cccc(O)c1,-1408.50688
C=CC=C,-571.18771
Brc1cccc(Br)c1,-1235.45137
Clc1cccc(Cl)c1,-1324.66297
ClCCCCl,-983.86275
CCNC(=S)NCC,-1325.76714
Fc1cccc(F)c1,-1722.016
Cc1cc(C)c2ccccc2c1,-1636.09264
O=N(=O)c1cccc(c1)N(=O)=O,-2338.29283
Oc1ccc(O)cc1,-1408.38729
C1C=CCC=C1,-844.34253
Brc1ccc(Br)cc1,-1235.45641
Clc1ccc(Cl)cc1,-1324.66729
CCc1ccc(CC)cc1,-1417.74862
Fc1ccc(F)cc1,-1721.99092
Cc1ccc(C)c2ccccc12,-1636.04057
O=N(=O)c1ccc(cc1)N(=O)=O,-2338.29268
C=CCC=C,-721.1367
Cc1cccc2c(C)cccc12,-1636.04763
C=CCCC=C,-871.09007
c1cnc2c(c1)ccc3ncccc23,-1953.61987
CC12CCC(CC1)C(C)(C)O2,-1767.70974
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3453.71713
Nc2cccc3nc1ccccc1cc23 ,-2103.49184
CC(C)CBr,-835.84344
CCCCBr,-835.76112
CCCCCCCBr,-1285.69838
