SMILES,E_0
c1ccc2c(cccc2O)c1,-1631.27012
Brc1cc(C(O)=O)c(N)cc1,-1940.49213
c1cc(ccc1O)I,-1322.90468
Oc1c(Br)cc(C(O)=O)c(O)c1,-2331.40883
O=C(Nc1ccc(cc1)O)C,-1881.34836
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,-2556.12801
CC(C)NCC(O)COc1ccccc1CC=C,-2929.31482
C1C2CC3CC(CC1C3)(N)C2,-1645.12249
CN(C)CC\C=C1\c2ccccc2CCc2ccccc12,-2952.7647
c1(c(CN(CC)CC)cc(cc1)Nc1ccnc2c1ccc(c2)Cl)O,-3873.91808
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,-3470.98841
S(c1n(cnc1N(=O)=O)C)c1ncnc2nc[nH]c12,-3266.12551
n1(Cc2ccccc2)cncc1,-1734.75585
Brc1cc2c(CN(C)C)c[nH]c2cc1,-2120.86753
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,-3257.60331
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,-3048.69239
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-4851.06667
C1(=C(COC(C)=O)CS[C@@H]2[C@H](NC(=O)Cc3cccs3)C(N12)=O)C(O)=O,-4678.78844
C([C@H](c1ccccn1)c1ccc(cc1)Cl)CN(C)C,-2860.64451
c1c(Cl)ccc2Sc3ccccc3N(CCCN(C)C)c12,-3160.49293
Clc1ccc(S(=O)(NC(=O)NCCC)=O)cc1,-3106.43972
CN(C)CC\C=C1\c2ccccc2Sc2ccc(cc12)Cl,-3083.42054
CN(C)CC\C=C1\c2ccccc2Sc2ccc(cc12)Cl,-3083.40917
c1cc2c(cc1Cl)[nH]c(=O)o2,-1957.24476
Cc1c(nc[nH]1)CSCCN\C(=N\C)NC#N,-2737.46325
O=C(c1cn(C2CC2)c2c(cc(F)c(N3CCNCC3)c2)c1=O)O,-4240.14653
C[N@]1C[C@@H]2C[C@H]1CN2c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,-4512.22114
C[C@H](CC1=CC=CC=C1)N(C)CC#C,-2010.68263
N1(c2c(CCc3ccccc13)cccc2)CCCNC,-2879.74158
Clc1cc2S(=O)(=O)N=C(Nc2cc1)C,-2483.81628
c1(c(Nc2c(cccc2Cl)Cl)cccc1)CC(=O)O,-3179.19421
CN1CCN(CC1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,-5211.10842
O=C1[C@H](OC(C)=O)[C@H](c2ccc(OC)cc2)Sc2ccccc2N1CCN(C)C,-4783.53486
CN(C)CCOC(c1ccccc1)c1ccccc1,-2851.98838
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,-2967.38628
CCN1CCN(CC1)c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,-4539.89993
N\C(CCSCc1csc(\N=C(\N)N)n1)=N\S(=O)(N)=O,-3606.45866
CC(C(O)=O)c1cccc(Oc2ccccc2)c1,-2917.24476
C(c1c(Nc2cc(ccc2)C(F)(F)F)cccc1)(=O)O,-4029.31812
CC1CCc2cc(F)cc3c2n1cc(C(O)=O)c3=O,-3419.97959
CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1,-3074.54077
O=C(NC1CCCCC1)NS(=O)(c1ccc(CCNC(c2cnc(cn2)C)=O)cc1)=O,-5234.36819
[nH]1cnc2nc(N)[nH]c(=O)c12,-1907.62184
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,-2949.6205
S1(=O)(=O)NCNc2c1cc(S(=O)(N)=O)c(c2)C(F)(F)F,-4581.66342
C(c1ccc(cc1)O)(=O)O,-1827.02218
CC(C)Cc1ccc(cc1)C(C)C(O)=O,-2431.55111
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,-4719.7585
N(C)CCCC12c3c(C(c4ccccc14)CC2)cccc3,-2953.08309
C(c1c(Nc2c(c(ccc2)C)C)cccc1)(=O)O,-2822.26264
CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Cl,-3433.29467
OCCn1c(ncc1N(=O)=O)C,-2299.69263
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-4134.45263
CCn1cc(c(=O)c2ccc(nc12)C)C(=O)O,-2894.73269
O[C@]1([C@H](N(CC=C)CC2)C3)[C@@]42C5=C3C=CC(O)=C5O[C@H]4C(CC1)=O,-3983.59642
O=C(O)[C@@H](C)c1ccc2cc(ccc2c1)OC,-2794.7718
C(c1cccnc1Nc1cc(ccc1)C(F)(F)F)(=O)O,-4079.03398
O=C1NC(CN1\N=C\c1ccc(N(=O)=O)o1)=O,-3280.27461
CCn1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C(=O)O,-4118.29163
N(CC\C=C1\c2c(CCc3c1cccc3)cccc2)C,-2802.91579
CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,-4685.89942
OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)[C@H]2N(C)C)=O)(O)[C@@]2([H])[C@H]3O)=O)[C@@]3([H])[C@@]4(O)C)C4=CC=C1,-6056.32765
c1(nccc2cc(c(OC)cc12)OC)Cc1cc(c(cc1)OC)OC,-4105.7584
c12c(ccc3cccnc13)cccn2,-1953.34097
c1ccc(cc1)\N=N\c1c(nc(cc1)N)N,-2429.37678
C1(NC(C(c2ccccc2)(C(=O)N1)CC)=O)=O,-2895.40247
N1(N(c2ccccc2)C(C(CCCC)C1=O)=O)c1ccccc1,-3566.0025
C(c1c(C(=O)O)cccc1)(=O)O,-2245.23761
C(c1c(C(=O)O)cccc1)(=O)O,-2245.238
CC(C)NCC(O)COc1cccc2[nH]ccc12,-2952.35018
S1(=O)(=O)N(C)C(=C(c2ccccc12)O)C(Nc1ccccn1)=O,-3933.76385
Nc1ccc(C(OCCN(CC)CC)=O)cc1,-2830.1671
CC(C)NCC(O)COc1cccc2ccccc12,-3025.54759
[H]C1(CN2CCC1C[C@@]2([H])[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2)C=C,-3742.55994
S(Cc1oc(CN(C)C)cc1)CCN\C(NC)=C\N(=O)=O,-3697.76775
C1CN(CCN1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,-5061.33097
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(=O)C(=CN2C2CC2)C(O)=O)C(N)=C1F,-5192.0086
C(=O)(NS(=O)(c1ccc(cc1)N)=O)C,-2553.55038
S(=O)(=O)(Nc1nc(C)cc(n1)C)c1ccc(N)cc1,-3175.70957
C(=O)(O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(Nc1ccccn1)=O,-4796.47543
Nc1ccc(cc1)S(=O)(Nc1nccs1)=O,-2729.35442
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,-4213.61423
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,-4213.58449
C(c1ccc(cc1)NCCCC)(=O)OCCN(C)C,-3129.91047
OC1=C(C(C2=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]3N(C)C)=O)(O)[C@@]3([H])C[C@]2([H])[C@@]4(O)C)=O)C4=CC=C1,-5762.1798
c1(cc(ccc1C(C)C)C)O,-1713.17433
Cc1ccc(cc1)C(=O)c1ccc(CC(=O)O)n1C,-3117.20323
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,-3984.972
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,-3984.97597
c1(nc(c(cn1)Cc1cc(c(c(OC)c1)OC)OC)N)N,-3592.15122
CC(CN(C)C)CN1c2ccccc2CCc2ccccc12,-3179.5333
NCCc1c[nH]c2ccccc12,-1762.36972
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,-5381.26745
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3730.51807
